Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
KCR,5/17,A's,5,JD Davis,6-3,000 0,000 1,000 1,100 0,Yes,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Back,S,Short,88.5
KCR,5/24,Rays,2,Jose Siri,5-3,000 2,000 3,000 3,100 2,Yes,Salvador Perez,Maikel Garcia,3B,RH,Back,S,Long,87.5
KCR,5/24,Rays,5,Alex Jackson,6-3,000 0,000 1,000 1,100 0,Yes,Salvador Perez,Bobby Witt Jr,SS,RH,Back,S,Long,88.5
KCR,5/27,Twins,4,Ryan Jeffers,1B,000 1,100 1,100 1,100 1,No,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Back,L,Stretch,88.5
KCR,5/28,Twins,1,Manuel Margot,1B,000 0,100 0,100 0,100 0,Yes,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Fore,S,Long,88.5
KCR,5/29,Twins,5,Trevor Larnach,1B,000 0,100 0,100 0,100 0,No,Nick Loftin,Adam Frazier,2B,RH,Fore,R,Stretch,76.4
KCR,5/30,Twins,1,Carlos Correa,6-3,100 0,010 1,010 1,011 0,Yes,Salvador Perez,Bobby Witt Jr,SS,RH,Fore,S,Long,88.5
KCR,5/30,Twins,6,Willi Castro,1B E6,000 1,010 1,000 2,010 1,No,Salvador Perez,Bobby Witt Jr,SS,RH,Fore,L,Stretch,88.5
KCR,6/18,A's,3,Max Schuemann,1B,010 0,101 0,101 0,010 0 +1,Yes,Salvador Perez,Bobby Witt Jr,SS,RH,Fore,S,Stretch,88.5
KCR,6/28,Guardians,3,Austin Hedges,1-6-4 FC,100 0,100 1,100 1,010 1,Yes,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Fore,R,Stretch,88.5
KCR,7/3,Rays,2,Amed Rosario,E5,000 0,100 0,000 1,100 0,No,Vinnie Pasquantino,Nick Loftin,3B,LH,Back,S,Stretch,83.4
KCR,7/3,Rays,7,Jose Caballero,E6,000 1,100 1,000 2,100 1,No,Vinnie Pasquantino,Bobby Witt Jr,SS,LH,Fore,S,Short,88.5
KCR,7/6,Rockies,2,Brendan Rodgers,E5,000 0,100 0,000 1,100 0,No,Vinnie Pasquantino,Maikel Garcia,3B,LH,Fore,S,Long,87.5
KCR,7/7,Rockies,8,Brenton Doyle,5-3,100 2,000 3,000 3,011 2,Yes,Salvador Perez,Maikel Garcia,3B,RH,Back,S,Stretch,87.5
KCR,7/7,Rockies,8,Ezequiel Tovar,6-4 FC,100 0,100 1,000 2,100 1,No,Salvador Perez,Michael Massey,2B,RH,Back,S,Short,77.4
KCR,7/21,White Sox,6,Luis Robert Jr,5-3,110 2,000 3,000 3,011 2 +1,Yes,Vinnie Pasquantino,Maikel Garcia,3B,LH,Fore,S,Stretch,87.5
