Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
ARI,3/28,Rockies,9,Ezequiel Tovar,5-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,S,Short,92.1
ARI,4/5,Braves,6,Orlando Arcia,5-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Long,84.4
ARI,4/6,Braves,1,Austin Riley,6-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,S,Short,92.1
ARI,4/6,Braves,3,Travis d'Arnaud,4-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Ketel Marte,2B,RH,Back,R,Short,82.4
ARI,4/13,Cardinals,7,Masyn Winn,1B,000 0,100 0,100 0,100 0,Yes,Christian Walker,Jace Peterson,SS,RH,Back,S,Long,79.5
ARI,4/13,Cardinals,8,Nolan Arenado,1B,000 1,100 1,000 2,100 1,No,Christian Walker,Jace Peterson,SS,RH,Back,R,Stretch,79.5
ARI,4/16,Cubs,1,Nico Hoerner,1B,000 0,100 0,100 0,100 0,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,R,Long,92.1
ARI,4/29,Dodgers,6,Shohei Ohtani,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Kevin Newman,SS,RH,Back,S,Short,81.1
ARI,4/30,Dodgers,4,Will Smith,5-3,010 1,010 2,010 2,010 1 +1,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Short,84.4
ARI,4/30,Dodgers,6,Andy Pages,6-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Kevin Newman,SS,RH,Back,S,Stretch,81.1
ARI,5/1,Dodgers,2,Teoscar Hernandez,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,R,Short,92.1
ARI,5/12,Orioles,6,Ryan Mountcastle,5-4-3 DP,100 1,000 3,000 3,010 2,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Stretch,82.4
ARI,5/19,Tigers,8,Mark Canha,4-3,100 0,010 1,010 1,011 0,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Short,82.4
ARI,5/31,Mets,3,Jose Iglesias,4-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Ketel Marte,2B,RH,Fore,L,Stretch,82.4
ARI,6/3,Giants,9,Matt Chapman,1B,000 1,100 1,000 2,100 1,No,Christian Walker,Blaze Alexander,SS,RH,Back,R,Stretch,92.1
ARI,6/12,Angels,6,Kevin Pillar,5-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Blaze Alexander,3B,RH,Back,S,Stretch,90.6
ARI,6/27,Twins,6,Manuel Margot,6-3,100 2,000 3,000 3,011 2,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Stretch,85.8
ARI,6/30,A's,1,Brent Rooker,6-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Back,S,Stretch,85.8
ARI,7/2,Dodgers,8,Chris Taylor,5-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Kevin Newman,3B,RH,Back,S,Short,81.1
ARI,7/5,Padres,4,Luis Arraez,1B,100 2,110 2,110 2,011 2,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Long,82.4
ARI,7/5,Padres,5,Donovan Solano,E5,000 2,100 2,000 3,100 2,No,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,7/6,Padres,7,Luis Campusano,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Stretch,85.8
ARI,7/6,Padres,7,Jake Cronenworth,1B,011 2,101 2 +1,101 2 +1,010 2 +2,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Long,84.4
ARI,7/12,Blue Jays,2,Alejandro Kirk,6-3,000 1,000 2,000 2,100 1,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Long,85.8
ARI,7/21,Cubs,2,Christopher Morel,1B,000 1,100 1,100 1,100 1,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Long,85.8
ARI,7/22,Rockies,4,Donovan Solano,5-3,000 1,000 2,000 2,100 1,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,8/3,Pirates,1,Connor Joe,5-3,000 2,000 3,000 3,100 2,Yes,Josh Bell,Eugenio Suarez,3B,RH,Fore,S,Short,84.4
ARI,8/7,Guardians,8,Lane Thomas,1B,000 0,100 0,100 0,100 0,Yes,Kevin Newman,Geraldo Perdomo,SS,RH,Back,S,Short,85.8
ARI,8/7,Guardians,9,Andres Gimenez,1B,000 1,100 1,100 1,100 1,No,Kevin Newman,Geraldo Perdomo,SS,RH,Back,R,Stretch,85.8
ARI,8/10,Phillies,9,Bryson Stott,4-3,000 0,000 1,000 1,100 0,Yes,Josh Bell,Kevin Newman,2B,RH,Fore,L,Short,77.9
ARI,8/12,Rockies,8,Ryan McMahon,6-3,000 1,000 2,000 2,100 1,Yes,Josh Bell,Geraldo Perdomo,SS,RH,Fore,S,Short,85.8
ARI,8/19,Marlins,2,Connor Norby,1B,000 0,100 0,100 0,100 0,Yes,Pavin Smith,Geraldo Perdomo,SS,LH,Back,L,Stretch,85.8
ARI,8/24,Red Sox,7,Masataka Yoshida,4-3,000 0,000 1,000 1,100 0,Yes,Josh Bell,Luis Guillorme,2B,RH,Back,S,Stretch,77.3
ARI,9/7,Astros,3,Alex Bregman,5-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,9/14,Brewers,5,Jackson Chourio,5-3,000 1,000 2,000 2,100 1,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Long,84.4
ARI,9/16,Rockies,4,Brendan Rodgers,6-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Back,R,Long,85.8
ARI,9/18,Rockies,9,Jacob Stallings,1B,000 0,100 0,100 0,100 0,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Back,S,Stretch,85.8
ARI,9/20,Brewers,5,Jackson Chourio,1B,000 2,100 2,000 3,100 2,No,Christian Walker,Geraldo Perdomo,SS,RH,Back,S,Stretch,85.8
ARI,9/20,Brewers,8,Sal Frelick,5-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,9/27,Padres,2,Luis Arraez,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Back,S,Short,85.8
ATL,4/2,White Sox,6,Andrew Vaughn,6-4-3 DP,110 1,000 3,000 3,010 2 +1,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,S,Short,72.5
ATL,4/7,Diamondbacks,6,Lourdes Gurriel Jr,5-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Austin Riley,3B,RH,Fore,L,Short,83
ATL,4/11,Mets,9,Francisco Lindor,4-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,S,Short,72.5
ATL,4/16,Astros,8,Jake Meyers,5-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Austin Riley,3B,RH,Fore,R,Stretch,83
ATL,4/17,Astros,7,Yainer Diaz,5-4 FC,100 1,100 2,100 2,010 2,Yes,Matt Olson,Luis Guillorme,2B,RH,Back,S,Short,77.3
ATL,4/21,Rangers,7,Wyatt Langford,1B,000 0,100 0,100 0,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Long,86.3
ATL,4/23,Marlins,8,Tim Anderson,5-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Austin Riley,3B,RH,Fore,S,Stretch,83
ATL,4/30,Mariners,5,Jorge Polanco,5-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Austin Riley,3B,RH,Back,R,Short,83
ATL,5/1,Mariners,3,Luis Urias,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,R,Short,86.3
ATL,5/8,Red Sox,8,Tyler O'Neill,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,5/11,Mets,3,Harrison Bader,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,5/11,Mets,4,Pete Alonso,6-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,5/13,Cubs,5,Miguel Amaya,5-3,110 2,000 3,000 3,011 2 +1,Yes,Matt Olson,Zack Short,3B,RH,Back,S,Long,83.6
ATL,5/14,Cubs,4,Nick Madrigal,6-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Orlando Arcia,SS,RH,Fore,S,Stretch,86.3
ATL,5/15,Cubs,1,Michael Busch,4-6 FC,100 1,100 2,100 2,010 2,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Stretch,86.3
ATL,5/17,Padres,4,Kyle Higashioka,5-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Zack Short,3B,RH,Back,S,Stretch,83.6
ATL,5/17,Padres,4,Ha-Seong Kim,3-6-3 DP,100 0,000 2,000 2,010 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,5/22,Cubs,8,Dansby Swanson,1B E5,000 1,010 1,000 2,010 1,No,Matt Olson,Zack Short,3B,RH,Back,R,Stretch,83.6
ATL,5/25,Pirates,3,Connor Joe,6-3,001 2,000 3,000 3,010 2 +1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,5/26,Pirates,5,Alika Williams,6-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Stretch,86.3
ATL,5/26,Pirates,6,Andrew McCutchen,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Fore,S,Stretch,86.3
ATL,5/28,Nationals,4,Keibert Ruiz,6-4-3 DP,100 1,000 3,000 3,010 2,Yes,Matt Olson,Ozzie Albies,2B,RH,Back,S,Stretch,72.5
ATL,5/29,Nationals,4,Eddie Rosario,4-3,010 1,001 2,001 2,010 1 +1,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,S,Short,72.5
ATL,5/31,A's,9,Aledmys Diaz,6-3,001 1,000 2 +1,000 2 +1,010 1 +1,Yes,Matt Olson,Orlando Arcia,SS,RH,Fore,L,Long,86.3
ATL,6/1,A's,1,Miguel Andujar,1B,000 1,100 1,000 2,100 1,No,Matt Olson,Orlando Arcia,SS,RH,Fore,S,Stretch,86.3
ATL,6/4,Red Sox,8,Rafael Devers,4-3,100 1,010 2,010 2,011 1,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,R,Stretch,72.5
ATL,6/7,Nationals,4,Lane Thomas,5-3,010 0,010 1,010 1,010 0 +1,Yes,Matt Olson,Austin Riley,3B,RH,Back,S,Short,83
ATL,6/8,Nationals,5,Lane Thoams,E5,000 1,100 1,000 2,100 1,No,Matt Olson,Austin Riley,3B,RH,Back,S,Stretch,83
ATL,6/12,Orioles,8,Ryan Mountcastle,1B,000 1,100 1,100 1,100 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Fore,S,Long,86.3
ATL,6/15,Rays,5,Amed Rosario,1B,000 0,100 0,100 0,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Long,86.3
ATL,6/18,Tigers,8,Mark Canha,1B,000 1,100 1,100 1,100 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,R,Long,86.3
ATL,6/19,Tigers,8,Mark Canha,5-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Austin Riley,3B,RH,Fore,L,Stretch,83
ATL,6/21,Yankees,4,Giancarlo Stanton,5-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Austin Riley,3B,RH,Back,S,Stretch,83
ATL,6/30,Pirates,2,Nick Gonzales,1B,000 0,100 0,100 0,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Long,86.3
ATL,7/4,Giants,7,Heliot Ramos,6-3,010 2,000 3,000 3,010 2 +1,Yes,Matt Olson,Zack Short,SS,RH,Back,S,Stretch,83.6
ATL,7/5,Phillies,7,Trea Turner,4-3,010 2,000 3,000 3,010 2 +1,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,S,Long,72.5
ATL,7/8,Diamondbacks,5,Gabriel Moreno,5-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Austin Riley,3B,RH,Back,S,Stretch,83
ATL,7/12,Padres,8,Ha-Seong Kim,1B E6,000 0,010 0,100 0,010 0,No,Matt Olson,Orlando Arcia,SS,RH,Back,R,Long,86.3
ATL,7/22,Reds,3,Elly De La Cruz,1B,000 2,100 2,000 3,100 2,No,Matt Olson,Austin Riley,3B,RH,Back,S,Stretch,83
ATL,8/16,Angels,6,Jo Adell,5-3,011 2,000 3,000 3,010 2 +2,Yes,Matt Olson,Austin Riley,3B,RH,Fore,S,Long,83
ATL,8/17,Angels,7,Jack Lopez,E4,000 1,100 1,000 2,100 1,No,Matt Olson,Whit Merrifield,2B,RH,Back,S,Stretch,80.2
ATL,8/20,Phillies,6,Nick Castellanos,6-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,8/23,Nationals,1,Juan Yepez,5-3,000 2,000 3,000 3,100 2,Yes,Matt Olson,Gio Urshela,3B,RH,Back,S,Stretch,78.6
ATL,8/25,Nationals,8,Andres Chaparro,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Fore,S,Short,86.3
ATL,8/26,Twins,5,Willi Castro,E6,000 1,100 1,000 2,100 1,No,Matt Olson,Orlando Arcia,SS,RH,Back,R,Stretch,86.3
ATL,8/27,Twins,6,Austin Martin,4-3,100 2,000 3,000 3,011 2,Yes,Matt Olson,Whit Merrifield,2B,RH,Fore,S,Long,80.2
ATL,8/28,Twins,2,Willi Castro,6-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Short,86.3
ATL,8/30,Phillies,8,JT Realmuto,5-3,110 2,000 3,000 3,011 2 +1,Yes,Matt Olson,Gio Urshela,3B,RH,Back,R,Short,78.6
ATL,9/9,Reds,8,Tyler Stephenson,E6,000 1,100 1,000 2,100 1,No,Matt Olson,Orlando Arcia,SS,RH,Back,S,Stretch,86.3
ATL,9/9,Reds,9,Spencer Steer,5-3,101 2,000 3,000 3,011 2 +1,Yes,Matt Olson,Gio Urshela,3B,RH,Back,S,Short,78.6
ATL,9/20,Marlins,1,Xavier Edwards,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Stretch,86.3
ATL,9/27,Royals,6,Kyle Isbel,4-3,000 1,000 2,000 2,100 1,Yes,Matt Olson,Ozzie Albies,2B,RH,Fore,S,Short,72.5
ATL,9/29,Royals,4,Yuli Gurriel,6-3,000 0,000 1,000 1,100 0,Yes,Matt Olson,Orlando Arcia,SS,RH,Back,S,Stretch,86.3
BAL,3/28,Angels,8,Zach Neto,6-4 FC E4,111 1,100 2 +2,000 3,100 2 +2,No,Ryan Mountcastle,Jorge Mateo,2B,RH,Back,S,Stretch,84.1
BAL,3/31,Angels,3,Taylor Ward,6-3,000 1,000 2,000 2,100 1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,R,Short,89
BAL,4/2,Royals,4,Freddy Fermin,5-3,000 1,000 2,000 2,100 1,Yes,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Long,82.3
BAL,4/3,Royals,2,Maikel Garcia,6-3,010 2,000 3,000 3,010 2 +1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Stretch,89
BAL,4/5,Pirates,5,Ke'Bryan Hayes,1B,000 2,100 2,100 2,100 2,Yes,Ryan Mountcastle,Jordan Westburg,2B,RH,Back,S,Stretch,77.3
BAL,4/7,Pirates,6,Bryan Reynolds,6-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Short,89
BAL,4/9,Red Sox,2,Ceddanne Rafaela,6-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Short,89
BAL,4/12,Brewers,5,Gary Sanchez,E6,000 2,010 2,000 3,010 2,No,Ryan O'Hearn,Gunnar Henderson,SS,LH,Fore,S,Stretch,89
BAL,4/12,Brewers,6,Willy Adames,1B,000 2,100 2,100 2,100 2,Yes,Ryan O'Hearn,Gunnar Henderson,SS,LH,Back,S,Stretch,89
BAL,4/13,Brewers,7,Brice Turang,1B,000 2,100 2,100 2,100 2,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,R,Stretch,89
BAL,4/21,Royals,4,Hunter Renfroe,6-3,100 2,000 3,000 3,011 2,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,R,Stretch,89
BAL,4/30,Yankees,1,Aaron Judge,5-4-3 DP,100 1,000 3,000 3,010 2,Yes,Ryan Mountcastle,Jorge Mateo,2B,RH,Back,S,Stretch,84.1
BAL,5/3,Reds,1,Tyler Stephenson,6-3,010 2,000 3,000 3,010 2 +1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Short,89
BAL,5/4,Reds,6,Jonathan India,1B 4-6,000 1,000 2,000 2,000 2,No,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Stretch,82.3
BAL,5/11,Diamondbacks,8,Christian Walker,6-3,000 2,000 3,000 3,100 2,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Long,89
BAL,5/13,Blue Jays,5,Ernie Clement,1B,000 2,100 2,000 3,100 2,No,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Stretch,82.3
BAL,5/15,Blue Jays,2,Ernie Clement,5-3,110 2,000 3,000 3,011 2 +1,Yes,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Short,82.3
BAL,5/17,Mariners,3,Dylan Moore,5-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Long,82.3
BAL,5/18,Mariners,8,Julio Rodriguez,1B,000 0,100 0,000 1,100 0,No,Ryan O'Hearn,Gunnar Henderson,SS,LH,Back,S,Stretch,89
BAL,5/19,Mariners,6,Luke Raley,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Long,89
BAL,5/20,Cardinals,2,Brendan Donovan,6-3,010 2,000 3,000 3,010 2 +1,Yes,Ryan O'Hearn,Gunnar Henderson,SS,LH,Back,S,Long,89
BAL,5/20,Cardinals,5,Masyn Winn,6-3,110 2,000 3,000 3,011 2 +1,Yes,Ryan O'Hearn,Gunnar Henderson,SS,LH,Fore,S,Long,89
BAL,5/21,Cardinals,7,Dylan Carlson,4-3,000 2,000 3,000 3,100 2,Yes,Ryan Mountcastle,Jorge Mateo,2B,RH,Back,S,Long,84.1
BAL,5/25,White Sox,6,Nicky Lopez,1B,100 2,110 2,110 2,011 2,Yes,Ryan Mountcastle,Ramon Urias,3B,RH,Fore,S,Stretch,79.9
BAL,5/27,Red Sox,3,Jarren Duran,4-3,000 1,000 2,000 2,100 1,Yes,Ryan Mountcastle,Jorge Mateo,2B,RH,Back,S,Short,84.1
BAL,5/29,Red Sox,7,Connor Wong,1B,000 0,100 0,100 0,100 0,No,Ryan Mountcastle,Ramon Urias,3B,RH,Back,R,Stretch,79.9
BAL,6/4,Blue Jays,3,Vladimir Guerrero Jr,1B,100 2,110 2,110 2,011 2,Yes,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Long,82.3
BAL,6/4,Blue Jays,8,Isiah Kiner-Falefa,5-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Jordan Westburg,3B,RH,Back,S,Stretch,82.3
BAL,6/12,Braves,3,Ozzie Albies,6-3,100 2,000 3,000 3,011 2,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Fore,L,Short,89
BAL,6/15,Phillies,4,Alec Bohm,5-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Ramon Urias,3B,RH,Back,S,Short,79.9
BAL,6/21,Astros,1,Jose Altuve,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Fore,S,Stretch,89
BAL,6/23,Astros,3,Yainer Diaz,1B,000 0,100 0,100 0,100 0,No,Ryan Mountcastle,Ramon Urias,3B,RH,Back,R,Stretch,79.9
BAL,6/23,Astros,8,Jeremy Pena,6-3,100 2,000 3,000 3,011 2,Yes,Ryan Mountcastle,Jorge Mateo,SS,RH,Back,S,Short,84.5
BAL,6/29,Rangers,4,Robbie Grossman,5-4 FC,100 1,100 2,000 3,100 2,No,Ryan O'Hearn,Jordan Westburg,2B,LH,Back,S,Short,77.3
BAL,6/30,Rangers,2,Nate Lowe,5-4 FC,100 1,100 2,100 2,010 2,Yes,Ryan O'Hearn,Jorge Mateo,2B,LH,Fore,R,Short,84.1
BAL,7/5,A's,8,Max Schuemann,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,R,Long,89
BAL,7/6,A's,2,Max Schuemann,6-3,101 2,000 3,000 3,011 2 +1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Short,89
BAL,7/6,A's,2,Tyler Nevin,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Ramon Urias,3B,RH,Back,R,Long,79.9
BAL,7/20,Rangers,7,Justin Foscue,5-3,100 1,010 2,010 2,011 1,Yes,Ryan O'Hearn,Ramon Urias,3B,LH,Fore,S,Stretch,79.9
BAL,7/26,Padres,6,Manny Machado,E6,000 1,100 1,000 2,100 1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Short,89
BAL,7/28,Padres,4,Jake Cronenworth,6-3,000 0,000 1,000 1,100 0,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,R,Short,89
BAL,7/29,Blue Jays,5,Leo Jimenez,1B,000 0,100 0,100 0,100 0,Yes,Ryan O'Hearn,Jordan Westburg,SS,LH,Back,S,Long,81.6
BAL,8/2,Guardians,1,Lane Thomas,6-3,000 1,000 2,000 2,100 1,Yes,Ryan Mountcastle,Gunnar Henderson,SS,RH,Back,S,Long,89
BAL,8/7,Blue Jays,2,Alejandro Kirk,E5,010 2,100 2 +1,000 3,100 2 +1,No,Ryan Mountcastle,Coby Mayo,3B,RH,Back,S,Stretch,85.5
BAL,8/9,Rays,6,Brandon Lowe,5-3,000 0,000 1,000 1,100 0,Yes,Ryan O'Hearn,Ramon Urias,3B,LH,Back,S,Short,79.9
BAL,8/16,Red Sox,1,Jarren Duran,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Jackson Holliday,2B,RH,Back,S,Long,77.6
BAL,8/17,Red Sox,8,Tyler O'Neill,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Jackson Holliday,2B,RH,Fore,S,Long,77.6
BAL,8/21,Mets,1,Francisco Lindor,1B,000 0,100 0,100 0,100 0,Yes,Ryan Mountcastle,Ramon Urias,3B,RH,Back,S,Stretch,79.9
BAL,8/31,Rockies,6,Drew Romo,6-3,000 2,000 3,000 3,100 2,Yes,Ryan O'Hearn,Gunnar Henderson,SS,LH,Fore,S,Long,89
BAL,9/7,Rays,6,Jose Siri,1B,010 2,101 2,101 2,010 2 +1,Yes,Ryan O'Hearn,Emmanuel Rivera,3B,LH,Fore,S,Short,85.8
BAL,9/8,Rays,3,Christopher Morel,6-3,000 1,000 2,000 2,100 1,Yes,Ryan O'Hearn,Gunnar Henderson,SS,LH,Back,S,Stretch,89
BOS,3/30,Mariners,1,Julio Rodriguez,6-3,010 0,010 1,010 1,010 0 +1,Yes,Triston Casas,Trevor Story,SS,RH,Back,R,Stretch,80
BOS,3/30,Mariners,1,JP Crawford,1B E5,000 0,010 0,100 0,010 0,No,Triston Casas,Pablo Reyes,3B,RH,Back,R,Stretch,84.8
BOS,4/5,Angels,3,Logan O'Hoppe,6-3,000 0,000 1,000 1,100 0,Yes,Triston Casas,Trevor Story,SS,RH,Back,S,Long,80
BOS,4/12,Angels,3,Nolan Schanuel,1B,000 0,100 0,000 1,100 0,No,Triston Casas,Pablo Reyes,2B,RH,Back,R,Long,84.8
BOS,4/14,Angels,6,Mike Trout,6-3,000 0,000 1,000 1,100 0,Yes,Triston Casas,David Hamilton,SS,RH,Back,S,Long,85.1
BOS,4/15,Guardians,9,Will Brennan,4-6 FC,100 0,100 1,100 1,010 1,Yes,Triston Casas,David Hamilton,SS,RH,Back,S,Stretch,85.1
BOS,4/16,Guardians,4,Ramon Laureano,6-3,000 1,000 2,000 2,100 1,Yes,Triston Casas,David Hamilton,SS,RH,Fore,S,Short,85.1
BOS,4/18,Guardians,5,Ramon Laureano,E5,000 0,010 0,000 1,010 0,No,Triston Casas,Pablo Reyes,3B,RH,Back,S,Stretch,84.8
BOS,4/23,Guardians,3,Andres Gimenez,4-6-3 DP,110 1,000 3,000 3,010 2 +1,Yes,Bobby Dalbec,Ceddanne Rafaela,SS,RH,Back,S,Short,86.4
BOS,4/24,Guardians,5,Brayan Rocchio,3-6-3 DP,100 1,000 3,000 3,010 2,Yes,Bobby Dalbec,Ceddanne Rafaela,SS,RH,Back,R,Short,86.4
BOS,4/25,Guardinas,4,Steven Kwan,1B,000 1,100 1,100 1,100 1,Yes,Bobby Dalbec,David Hamilton,2B,RH,Back,S,Short,78.5
BOS,4/26,Cubs,4,Miguel Amaya,E5,100 1,101 1,010 2,101 1,No,Bobby Dalbec,Pablo Reyes,3B,RH,Fore,S,Stretch,84.8
BOS,5/2,Giants,1,Jorge Soler,5-3,000 1,000 2,000 2,100 1,Yes,Bobby Dalbec,Rafael Devers,3B,RH,Back,R,Long,84.7
BOS,5/4,Twins,1,Carlos Correa,5-3,011 1,001 2 +1,001 2 +1,010 1 +2,Yes,Garrett Cooper,Rafael Devers,3B,RH,Back,S,Stretch,84.7
BOS,5/4,Twins,2,Carlos Santana,4-3,000 0,000 1,000 1,100 0,Yes,Garrett Cooper,David Hamilton,2B,RH,Fore,L,Stretch,78.5
BOS,5/11,Nationals,3,Jacob Young,E4,000 2,100 2,100 2,100 2,No,Dom Smith,Ceddanne Rafaela,SS,LH,Fore,S,Stretch,86.4
BOS,5/14,Rays,11,Isaac Paredes,E6,110 2,011 2 +1,000 3,011 2 +1,No,Romy Gonzalez,Ceddanne Rafaela,SS,RH,Back,S,Long,86.4
BOS,5/16,Rays,4,Jose Caballero,E6,000 1,100 1,000 2,100 1,No,Dom Smith,Ceddanne Rafaela,SS,LH,Fore,S,Stretch,86.4
BOS,5/19,Cardinals,8,Paul Goldschmidt,6-3,100 2,000 3,000 3,011 2,Yes,Dom Smith,Ceddanne Rafaela,SS,LH,Fore,S,Short,86.4
BOS,5/20,Rays,1,Yandy Diaz,6-3,000 0,000 1,000 1,100 0,Yes,Dom Smith,Ceddanne Rafaela,SS,LH,Back,S,Short,86.4
BOS,5/22,Rays,7,Jonny DeLuca,1B,101 1,110 1 +1,110 1 +1,011 1 +1,Yes,Dom Smith,Rafael Devers,3B,LH,Back,S,Long,84.7
